,Var1_1,Var1_2,X_real,X_img,y_real,y_img
16428,0.005721151-8.045975e-05i,0.005699476+0.0008451849i,0.005721151,,0.005699476,0.0008451849
16497,-0.002871404+7.025199e-06i,-0.002738544-0.0002780389i,-0.002871404,,-0.002738544,-0.0002780389
16543,0.004160753-1.732307e-05i,0.004185725+0.0006696596i,0.004160753,,0.004185725,0.0006696596
16576,0.003099684+9.046728e-05i,0.003177575+0.0009959894i,0.003099684,,0.003177575,0.0009959894
16708,-0.01211256+5.043531e-05i,-0.01224889+0.0003560252i,-0.01211256,,-0.01224889,0.0003560252
16796,-0.00513643-3.352901e-05i,-0.005330303-0.0009218652i,-0.00513643,,-0.005330303,-0.0009218652
16799,0.00127657-4.508649e-05i,0.001305785-0.000175101i,0.00127657,,0.001305785,-0.000175101
16835,-0.00385004-8.165953e-05i,-0.003789502-0.0005204076i,-0.00385004,,-0.003789502,-0.0005204076
16880,0.003848647-9.09334e-05i,0.003766402+0.000643707i,0.003848647,,0.003766402,0.000643707
16900,-0.00505087-2.751034e-05i,-0.00524499-0.0005663136i,-0.00505087,,-0.00524499,-0.0005663136
17005,0.001740166-1.26455e-05i,0.001744367+0.0001974423i,0.001740166,,0.001744367,0.0001974423
17123,-0.001807488-4.067132e-05i,-0.001847035-0.0003571684i,-0.001807488,,-0.001847035,-0.0003571684
17124,-0.00107628-7.681176e-05i,-0.001099403-0.00029912i,-0.00107628,,-0.001099403,-0.00029912
17330,0.005774729+1.93133e-07i,0.005624148+0.0007714899i,0.005774729,,0.005624148,0.0007714899
17439,-0.0005808496+9.238767e-05i,-0.0004731747+0.0001992798i,-0.0005808496,,-0.0004731747,0.0001992798
17457,-0.0003155787-4.819315e-05i,-0.00026745-4.411206e-06i,-0.0003155787,,-0.00026745,
17467,0.00634394-3.413612e-05i,0.006259194+0.0007478367i,0.00634394,,0.006259194,0.0007478367
17663,-0.007010281-2.263347e-05i,-0.007277664-0.0005971175i,-0.007010281,,-0.007277664,-0.0005971175
17804,0.001506762+9.261351e-05i,0.001352314+0.0003583351i,0.001506762,,0.001352314,0.0003583351
17845,0.003095777+3.621913e-06i,0.003132466+0.0006786996i,0.003095777,,0.003132466,0.0006786996
17949,0.003289438-2.286094e-05i,0.003212086+0.0003020618i,0.003289438,,0.003212086,0.0003020618
17964,0.01395969-8.694455e-05i,0.01339132-0.001567317i,0.01395969,,0.01339132,-0.001567317
18007,-0.005998122+2.336223e-06i,-0.006270621-0.0006266307i,-0.005998122,,-0.006270621,-0.0006266307
18047,0.004265758+4.021171e-05i,0.004422661+0.0004798452i,0.004265758,,0.004422661,0.0004798452
18426,-0.01512743-3.421167e-05i,-0.01469053+0.000973487i,-0.01512743,,-0.01469053,0.000973487
18472,-0.003657149+9.497674e-05i,-0.00379817-0.0006962113i,-0.003657149,,-0.00379817,-0.0006962113
18519,-0.003930939-4.088157e-05i,-0.004149728-0.0006927004i,-0.003930939,,-0.004149728,-0.0006927004
18557,-0.003453895-2.736819e-05i,-0.003593215-0.0004757651i,-0.003453895,,-0.003593215,-0.0004757651
18572,0.004873903-4.420476e-05i,0.005051691+0.0007637627i,0.004873903,,0.005051691,0.0007637627
18583,-0.005617628+9.496091e-05i,-0.005955185-0.0005485204i,-0.005617628,,-0.005955185,-0.0005485204
18680,0.00325014-3.163994e-05i,0.003421307+0.0005464851i,0.00325014,,0.003421307,0.0005464851
18756,6.381143e-05-8.995784e-05i,7.47829e-05+0.0002597838i,6.381143,,7.47829,0.0002597838
18810,-5.480088e-05-2.321863e-05i,-7.337479e-05+1.470524e-05i,-5.480088,,-7.337479,
18818,0.008464623-4.34122e-05i,0.008463417+0.0007201831i,0.008464623,,0.008463417,0.0007201831
18876,-0.00081544-3.932207e-05i,-0.000902587+6.812103e-05i,-0.00081544,,-0.000902587,
18953,-0.008860254+3.168941e-05i,-0.009137801-0.0007366856i,-0.008860254,,-0.009137801,-0.0007366856
18979,-0.007660815-1.277961e-05i,-0.007958412-0.0007378155i,-0.007660815,,-0.007958412,-0.0007378155
18980,-0.009983027-9.654835e-05i,-0.01030576-0.000381023i,-0.009983027,,-0.01030576,-0.000381023
19089,0.0006951359-2.761977e-05i,0.0009498514+0.0002197962i,0.0006951359,,0.0009498514,0.0002197962
19275,-0.00419254+1.353957e-05i,-0.004136767-0.0007280475i,-0.00419254,,-0.004136767,-0.0007280475
19297,0.01132535+5.29848e-05i,0.01123837+0.000156795i,0.01132535,,0.01123837,0.000156795
19336,0.001612612+3.275182e-05i,0.001801283+0.0002204943i,0.001612612,,0.001801283,0.0002204943
19419,-0.005833134-6.566267e-05i,-0.005956138-0.001107648i,-0.005833134,,-0.005956138,-0.001107648
19420,-0.002944028+2.995372e-05i,-0.002955284-0.0007491448i,-0.002944028,,-0.002955284,-0.0007491448
19434,-0.006630775+9.707292e-07i,-0.006830387-0.0009487203i,-0.006630775,,-0.006830387,-0.0009487203
19630,0.005410573+8.885749e-06i,0.00526652+0.0008870127i,0.005410573,,0.00526652,0.0008870127
19781,0.006654224-8.864724e-05i,0.006893673+0.000426329i,0.006654224,,0.006893673,0.000426329
19868,0.0005565202-8.04934e-05i,0.0005557658-0.0002955731i,0.0005565202,,0.0005557658,-0.0002955731
19898,0.0003653474-1.707743e-05i,0.0007562216+0.0001677137i,0.0003653474,,0.0007562216,0.0001677137
19945,-0.00887448+3.399327e-06i,-0.009296793-0.0006930852i,-0.00887448,,-0.009296793,-0.0006930852
